Sample	theta_1A	theta_2B	theta_3CD	theta_4E	theta_5H	theta_6CDEBAH	theta_7CDEBA	theta_8CDEB	theta_9CDE	tau_6CDEBAH	tau_7CDEBA	tau_8CDEB	tau_9CDE	lnL
0	0.004398	0.004095	0.009258	0.007593	0.004943	0.007917	0.00477	0.012455	0.019229	0.01595	0.008922	0.004786	0.004174	-7883.51
1	0.003991	0.00586	0.010515	0.00386	0.005906	0.00715	0.005171	0.008355	0.020672	0.015153	0.008843	0.004665	0.003211	-7853.538
2	0.003911	0.004668	0.006933	0.006617	0.004353	0.010627	0.00644	0.008262	0.026332	0.016987	0.00934	0.005998	0.003994	-7874.372
3	0.005871	0.005256	0.00586	0.008337	0.006006	0.011036	0.00441	0.008918	0.007667	0.016218	0.008192	0.005516	0.002513	-7871.467
4	0.004344	0.004939	0.008507	0.013222	0.006514	0.014903	0.007101	0.010357	0.011006	0.01367	0.008048	0.003931	0.00254	-7857.82
5	0.005071	0.00367	0.008857	0.004593	0.005498	0.027716	0.006776	0.009463	0.024013	0.012753	0.006054	0.00491	0.003756	-7859.945
6	0.004701	0.004817	0.004158	0.009959	0.004658	0.007059	0.006691	0.01203	0.027401	0.014276	0.006291	0.003361	0.002397	-7863.706
7	0.007134	0.004232	0.004817	0.004431	0.005634	0.016256	0.006054	0.022404	0.006761	0.011909	0.006776	0.004257	0.003747	-7856.723
8	0.006025	0.005707	0.006981	0.009306	0.00642	0.015215	0.019868	0.017133	0.027792	0.014435	0.006521	0.005245	0.002722	-7882.136
9	0.005389	0.006373	0.006847	0.004768	0.008262	0.013589	0.008803	0.014672	0.014094	0.010994	0.00817	0.004991	0.003725	-7876.625
10	0.005162	0.004136	0.006291	0.005386	0.006601	0.010277	0.003675	0.011237	0.015102	0.010974	0.007232	0.004069	0.003055	-7875.839
11	0.004716	0.004541	0.008794	0.010361	0.004264	0.006369	0.005233	0.023446	0.006389	0.010259	0.005664	0.003703	0.003055	-7869.553
12	0.003033	0.004877	0.007442	0.007128	0.007177	0.012301	0.006035	0.005404	0.01513	0.011684	0.008109	0.004768	0.003238	-7870.114
13	0.004635	0.004595	0.008527	0.005913	0.007453	0.008836	0.006896	0.007159	0.00959	0.011086	0.006429	0.004322	0.002431	-7847.934
