Sample	tau0	mtheta	nspecies
0	0.013181	0.00922327272727273	6
1	0.011802	0.00891855555555556	5
2	0.01144	0.00791933333333333	5
3	0.016981	0.0134728888888889	5
4	0.015701	0.0119903636363636	6
5	0.014734	0.0127032727272727	6
6	0.016114	0.0118500909090909	6
7	0.013129	0.00989809090909091	6
8	0.011452	0.0106184545454545	6
9	0.011042	0.012884	5
10	0.013381	0.0169407777777778	5
11	0.011941	0.0176267777777778	5
12	0.013685	0.0169267777777778	5
13	0.016505	0.0130340909090909	6
14	0.012225	0.0127603636363636	6
15	0.012697	0.0111614444444444	5
16	0.013348	0.0122908888888889	5
17	0.012838	0.0109021818181818	6
18	0.014574	0.0129788181818182	6
19	0.014476	0.0142772222222222	5
20	0.012977	0.009398	6
21	0.013018	0.00951845454545455	6
22	0.011544	0.0108365555555556	5
23	0.011356	0.00889418181818182	6
24	0.013679	0.0125347777777778	5
25	0.011101	0.00879754545454545	6
26	0.00928	0.0112851818181818	6
27	0.00951	0.00996788888888889	5
28	0.011768	0.0125886666666667	5
29	0.009109	0.00932444444444444	5
30	0.011158	0.0118875555555556	5
31	0.013972	0.0178895555555556	5
32	0.0115	0.0109897777777778	5
33	0.016216	0.00921744444444444	5
34	0.012985	0.00879736363636364	6
35	0.015325	0.00954545454545455	6
36	0.014226	0.0102038181818182	6
37	0.012537	0.0117608888888889	5
38	0.015988	0.0122562222222222	5
39	0.015775	0.0103243333333333	5
40	0.017839	0.010664	5
41	0.015462	0.00858777777777778	5
42	0.012397	0.0101793333333333	5
43	0.014627	0.00965377777777778	5
44	0.011503	0.013662	6
45	0.013365	0.0159202727272727	6
46	0.013024	0.0117670909090909	6
47	0.014604	0.00903966666666667	5
48	0.015127	0.0107816666666667	5
49	0.015152	0.0126983333333333	5
50	0.018277	0.00972022222222222	5
51	0.016291	0.00904355555555555	5
52	0.015493	0.00770666666666667	5
53	0.012911	0.0100555555555556	5
54	0.011992	0.0127817777777778	5
55	0.014166	0.00994418181818182	6
56	0.012078	0.00992445454545455	6
57	0.011792	0.00923609090909091	6
58	0.015097	0.0102778181818182	6
59	0.01407	0.0101412727272727	6
60	0.011837	0.00957045454545455	6
61	0.011929	0.007916	6
62	0.013505	0.0121775454545455	6
63	0.014464	0.00962645454545455	6
64	0.013949	0.0100507272727273	6
65	0.01526	0.00816254545454546	6
66	0.018297	0.0113487272727273	6
67	0.012813	0.00974711111111111	5
68	0.012187	0.010434	5
69	0.01434	0.00954509090909091	6
70	0.016483	0.009809	5
71	0.014867	0.00872588888888889	5
72	0.013099	0.0103107777777778	5
73	0.012896	0.00862077777777778	5
74	0.016986	0.00934844444444444	5
75	0.01185	0.0107845555555556	5
76	0.013021	0.009523	6
77	0.014471	0.00837788888888889	5
78	0.015531	0.0105435555555556	5
79	0.012294	0.00977	5
80	0.01762	0.00921433333333333	5
81	0.013537	0.0119001111111111	5
82	0.013558	0.0150826666666667	5
83	0.021897	0.0145891111111111	5
84	0.01571	0.0141657777777778	5
85	0.017531	0.021085	5
86	0.017824	0.0145372222222222	5
87	0.014909	0.0120945454545455	6
88	0.013859	0.0135391818181818	6
89	0.014074	0.0118180909090909	6
90	0.014437	0.0114151111111111	5
91	0.012904	0.00929911111111111	5
92	0.01165	0.0101990909090909	6
93	0.013614	0.0147561111111111	5
94	0.015109	0.00971088888888889	5
95	0.013306	0.00909866666666667	5
96	0.011135	0.0110855555555556	5
97	0.01372	0.0112242222222222	5
98	0.014001	0.0108402222222222	5
99	0.017329	0.008412	5
100	0.014124	0.010069	6
101	0.014427	0.0100624545454545	6
102	0.016716	0.0132161818181818	6
103	0.015926	0.0091	5
104	0.01425	0.00897655555555556	5
105	0.014405	0.009913	5
106	0.017457	0.010647	5
107	0.012375	0.00834955555555556	5
108	0.01516	0.0103827777777778	5
109	0.015204	0.00850433333333333	5
110	0.011662	0.00963688888888889	5
111	0.01172	0.00897566666666667	5
112	0.010192	0.00915188888888889	5
113	0.016446	0.0108644444444444	5
114	0.015664	0.008452	5
115	0.012931	0.0102273333333333	5
116	0.013932	0.008104	5
117	0.016459	0.00820855555555556	5
118	0.013856	0.00853544444444444	5
