Sample	theta_1A	theta_2B	theta_3C.D	theta_4E	theta_5H	theta_6AEC.DBH	theta_7AEC.DB	theta_8EC.DB	theta_9EC.D	tau_6AEC.DBH	tau_7AEC.DB	tau_8EC.DB	tau_9EC.D	lnL
379	0.007223	0.005158	0.009722	0.007189	0.005275	0.009547	0.017921	0.011317	0.004192	0.015829	0.005464	0.004245	0.003264	-7862.385
380	0.006181	0.004492	0.005458	0.00438	0.005639	0.023057	0.011708	0.010086	0.04792	0.014505	0.0068	0.004401	0.00285	-7862.836
381	0.005541	0.004516	0.006383	0.005557	0.005428	0.008532	0.005909	0.007396	0.010515	0.009667	0.006266	0.004564	0.00421	-7868.715
382	0.00663	0.005147	0.006383	0.003952	0.005302	0.012457	0.008021	0.009246	0.014946	0.014867	0.007224	0.004292	0.003167	-7860.707
383	0.003061	0.004536	0.009874	0.009552	0.004158	0.01652	0.010462	0.00867	0.023604	0.013121	0.006362	0.003821	0.003792	-7877.831
384	0.005249	0.005727	0.004968	0.003487	0.006001	0.006711	0.007788	0.011114	0.00626	0.014989	0.006947	0.003627	0.001466	-7883.101
385	0.004596	0.004518	0.008312	0.004003	0.006256	0.007353	0.009686	0.010245	0.022407	0.018233	0.006794	0.004478	0.0032	-7863.522
386	0.005452	0.004448	0.007726	0.005395	0.005453	0.014775	0.006059	0.01022	0.013593	0.014824	0.007114	0.004431	0.002307	-7862.829
387	0.006934	0.008806	0.006855	0.004778	0.007756	0.018715	0.004611	0.014649	0.022118	0.01422	0.008926	0.004679	0.003632	-7873.721
388	0.007811	0.003115	0.005631	0.005231	0.005227	0.025267	0.004673	0.021422	0.014811	0.014925	0.007061	0.003229	0.00203	-7852.948
389	0.003248	0.005111	0.005245	0.006892	0.007217	0.010664	0.006279	0.010612	0.010253	0.013842	0.007602	0.00513	0.002538	-7865.637
390	0.005233	0.004666	0.005964	0.004245	0.004889	0.014545	0.010376	0.00848	0.024868	0.017004	0.007262	0.005528	0.002677	-7881.595
391	0.006307	0.005324	0.004986	0.010714	0.004662	0.01059	0.010089	0.012662	0.006343	0.013121	0.006245	0.003773	0.002684	-7865.128
392	0.004501	0.005506	0.004863	0.005579	0.00579	0.012494	0.009591	0.01405	0.013478	0.011027	0.005132	0.004147	0.00382	-7855.092
393	0.006381	0.004255	0.006886	0.005919	0.004942	0.013698	0.008881	0.006317	0.015258	0.009792	0.005963	0.003905	0.002693	-7866.579
394	0.005576	0.005347	0.007566	0.005832	0.003212	0.017245	0.010591	0.020904	0.008867	0.014339	0.006315	0.004738	0.002908	-7861.615
395	0.005289	0.006512	0.0071	0.0053	0.00555	0.012406	0.006747	0.010863	0.038216	0.01455	0.006748	0.004587	0.002743	-7860.874
396	0.004819	0.005154	0.005147	0.005192	0.005777	0.014012	0.00681	0.013864	0.009573	0.015573	0.007527	0.004228	0.001785	-7879.11
397	0.00401	0.005888	0.006183	0.005501	0.007255	0.007304	0.007712	0.014733	0.030516	0.016345	0.006845	0.005427	0.003697	-7871.29
398	0.004568	0.00435	0.004676	0.003716	0.005834	0.008922	0.006647	0.007718	0.019843	0.015699	0.005597	0.005147	0.003624	-7869.842
399	0.004555	0.006542	0.006767	0.005214	0.007439	0.009163	0.007266	0.013889	0.148746	0.015786	0.00592	0.004006	0.001966	-7879.842
400	0.00482	0.004015	0.005892	0.006861	0.004782	0.008032	0.004747	0.01401	0.057126	0.014878	0.007301	0.003902	0.003084	-7864.037
401	0.006656	0.003961	0.007219	0.003858	0.0046	0.010245	0.008622	0.005702	0.010089	0.011766	0.006932	0.005478	0.003506	-7840.8
402	0.006316	0.004896	0.005605	0.006303	0.004564	0.016695	0.011354	0.031182	0.008724	0.015089	0.005398	0.004363	0.003205	-7872.265
403	0.005825	0.004423	0.01062	0.008638	0.005027	0.007872	0.00984	0.007005	0.007198	0.013198	0.005757	0.004956	0.003829	-7859.477
404	0.004624	0.004312	0.007067	0.007424	0.004811	0.023118	0.006476	0.005946	0.014891	0.010842	0.006498	0.005197	0.002811	-7855.939
405	0.006298	0.005541	0.008231	0.007556	0.00498	0.015418	0.011094	0.006475	0.013526	0.014637	0.007495	0.00455	0.00294	-7879.372
406	0.00471	0.006136	0.006177	0.00858	0.005083	0.007702	0.006855	0.019216	0.020296	0.016715	0.008432	0.004499	0.003763	-7873.473
407	0.005059	0.00412	0.005013	0.009533	0.004457	0.010858	0.006326	0.007976	0.030231	0.015439	0.006767	0.004839	0.002537	-7865.382
408	0.003314	0.004344	0.006772	0.005982	0.004406	0.008635	0.005931	0.013478	0.041723	0.015902	0.008807	0.004917	0.004196	-7882.479
409	0.005868	0.003905	0.005978	0.016773	0.00625	0.00939	0.007554	0.010592	0.010763	0.013072	0.008103	0.005354	0.003661	-7861.383
410	0.004227	0.005173	0.005188	0.006495	0.005126	0.009525	0.004509	0.006741	0.01212	0.015746	0.006924	0.005061	0.002548	-7871.119
411	0.004201	0.003981	0.006564	0.005597	0.005736	0.013083	0.008009	0.018012	0.011619	0.017031	0.006278	0.004685	0.002482	-7876.362
412	0.006085	0.005317	0.006295	0.006865	0.005248	0.007929	0.004718	0.034239	0.016271	0.014611	0.007062	0.004495	0.002103	-7866.146
413	0.005522	0.003765	0.004625	0.00772	0.005307	0.007572	0.005828	0.009562	0.01542	0.018386	0.006323	0.004417	0.003448	-7851.222
414	0.006787	0.005964	0.004847	0.00538	0.005956	0.011961	0.005156	0.009539	0.023088	0.014099	0.007035	0.004318	0.003758	-7853.671
415	0.004072	0.004588	0.006753	0.010973	0.004639	0.017707	0.00753	0.009988	0.024965	0.012721	0.007503	0.005749	0.00427	-7865.903
416	0.004926	0.005575	0.010357	0.004518	0.005077	0.008566	0.007333	0.009626	0.006822	0.015081	0.009333	0.004476	0.002542	-7867.942
417	0.005796	0.004017	0.008923	0.007972	0.005564	0.010352	0.007395	0.004473	0.01369	0.016709	0.00763	0.004358	0.004093	-7868.784
418	0.005873	0.004676	0.006879	0.013635	0.005142	0.007638	0.00628	0.005991	0.014408	0.013829	0.007077	0.005391	0.002593	-7878.791
419	0.005244	0.004138	0.004643	0.006431	0.005671	0.005623	0.011059	0.01056	0.004125	0.014416	0.00823	0.004174	0.003735	-7866.31
420	0.004954	0.00382	0.00552	0.005044	0.005427	0.011428	0.011324	0.016162	0.006371	0.015481	0.007213	0.004037	0.002743	-7872.27
421	0.004836	0.004482	0.006075	0.007197	0.005344	0.007481	0.005169	0.010306	0.007967	0.017405	0.007098	0.003705	0.00144	-7851.281
422	0.00567	0.005091	0.007394	0.00852	0.007296	0.010643	0.008417	0.00988	0.008681	0.016114	0.007378	0.006236	0.003511	-7865.367
423	0.005935	0.006554	0.005971	0.003801	0.004021	0.008934	0.006513	0.006517	0.011879	0.013501	0.006344	0.004959	0.00418	-7889.349
424	0.003731	0.003988	0.007535	0.005816	0.004202	0.013907	0.012087	0.007332	0.010903	0.015138	0.007021	0.004821	0.002353	-7863.44
425	0.005736	0.004807	0.005812	0.005439	0.007533	0.01221	0.012811	0.014162	0.010104	0.016958	0.006238	0.003628	0.001959	-7864.795
426	0.004661	0.008893	0.010036	0.00622	0.005973	0.006692	0.010211	0.011183	0.022595	0.0137	0.007483	0.005155	0.002451	-7862.973
427	0.005927	0.003959	0.008864	0.006382	0.006825	0.006727	0.008507	0.012569	0.008298	0.012397	0.004751	0.004694	0.00252	-7861.378
428	0.003943	0.005351	0.006836	0.010256	0.006637	0.012259	0.005441	0.005415	0.012512	0.015021	0.006503	0.004945	0.004497	-7865.636
429	0.006645	0.010527	0.005563	0.006957	0.005004	0.008276	0.009744	0.009375	0.012731	0.01526	0.008508	0.006314	0.002675	-7872.419
430	0.006674	0.003491	0.007009	0.009135	0.004648	0.016987	0.006357	0.018964	0.008116	0.014693	0.006889	0.00422	0.003208	-7853.627
431	0.003254	0.003718	0.007696	0.005699	0.004458	0.008038	0.007973	0.011696	0.011948	0.015548	0.007018	0.00393	0.003511	-7874.459
432	0.003232	0.00369	0.004251	0.019479	0.004824	0.006589	0.007623	0.011622	0.008534	0.014388	0.006255	0.003677	0.00188	-7864.213
433	0.007058	0.003803	0.009098	0.007459	0.005424	0.010921	0.004674	0.012917	0.02028	0.014749	0.00737	0.005012	0.004818	-7865.412
434	0.005179	0.006751	0.008768	0.008528	0.005012	0.011485	0.007366	0.013368	0.007339	0.015803	0.007614	0.004288	0.002206	-7864.72
435	0.004316	0.004866	0.006377	0.005554	0.006342	0.013238	0.009074	0.011006	0.006283	0.017114	0.008453	0.005721	0.003953	-7865.8
436	0.006463	0.004768	0.007601	0.006722	0.005155	0.008228	0.005936	0.006631	0.007198	0.013222	0.006266	0.004129	0.002799	-7859.784
437	0.005329	0.005739	0.006298	0.004302	0.005813	0.00984	0.010243	0.012301	0.026022	0.016205	0.007163	0.004963	0.002231	-7865.638
438	0.005692	0.004676	0.00721	0.005232	0.007555	0.02221	0.005251	0.007306	0.011825	0.014384	0.00901	0.004592	0.00217	-7878.425
439	0.005067	0.006584	0.004779	0.007726	0.007252	0.014488	0.003733	0.015482	0.00929	0.012304	0.006841	0.004296	0.003238	-7881.497
440	0.004224	0.004188	0.006292	0.006325	0.004984	0.006777	0.01416	0.008773	0.01575	0.01053	0.006809	0.003194	0.002888	-7869.922
441	0.004491	0.004057	0.009864	0.012271	0.006441	0.010204	0.010238	0.018712	0.015033	0.011242	0.007376	0.004506	0.003032	-7883.581
442	0.004826	0.004091	0.005556	0.005971	0.008879	0.012724	0.005921	0.014168	0.010879	0.01437	0.006757	0.004938	0.001287	-7866.512
443	0.003083	0.004568	0.007219	0.006403	0.006058	0.012286	0.006092	0.014767	0.013043	0.011503	0.005891	0.005393	0.002879	-7867.365
444	0.004749	0.003479	0.005417	0.008094	0.005491	0.011784	0.004584	0.005283	0.024364	0.010453	0.00706	0.003946	0.002944	-7871.432
445	0.005548	0.004701	0.005676	0.009349	0.00422	0.015173	0.005575	0.015534	0.009242	0.012554	0.006892	0.004734	0.002632	-7853.018
446	0.005424	0.005076	0.005428	0.005876	0.004485	0.006328	0.005449	0.016217	0.011932	0.014988	0.005674	0.005258	0.002071	-7874.971
447	0.004442	0.003331	0.008966	0.006911	0.00341	0.007593	0.005349	0.008814	0.015405	0.016712	0.008318	0.005685	0.00457	-7867.973
448	0.004099	0.003957	0.00882	0.005548	0.006816	0.011339	0.005432	0.009268	0.01777	0.016067	0.008381	0.004492	0.002886	-7864.12
449	0.004282	0.004361	0.009888	0.005568	0.004554	0.007635	0.008219	0.007759	0.008834	0.016404	0.006525	0.004668	0.001988	-7861.415
450	0.005011	0.003629	0.004146	0.005683	0.006003	0.015063	0.004023	0.00954	0.044092	0.015623	0.006983	0.0043	0.002406	-7870.99
451	0.004887	0.005017	0.010051	0.008155	0.005854	0.019117	0.00413	0.011519	0.011439	0.015945	0.007893	0.004157	0.002514	-7857.587
452	0.004766	0.004257	0.006986	0.007881	0.004825	0.005094	0.006394	0.011093	0.022545	0.017429	0.007105	0.003937	0.002535	-7856.132
453	0.005518	0.00521	0.006361	0.005631	0.006227	0.009128	0.009618	0.005195	0.019217	0.015279	0.007122	0.005841	0.003456	-7868.358
454	0.004902	0.005427	0.005659	0.011263	0.007325	0.026436	0.007433	0.008937	0.006999	0.012702	0.005315	0.004299	0.00282	-7850.929
455	0.006117	0.005514	0.007336	0.008602	0.003663	0.007516	0.004279	0.008992	0.013783	0.01552	0.007676	0.004716	0.003073	-7886.859
456	0.004934	0.005593	0.006566	0.011368	0.005202	0.009733	0.005961	0.009037	0.010205	0.01428	0.007671	0.004233	0.003541	-7863.243
457	0.004592	0.004394	0.008004	0.00632	0.004408	0.014441	0.0058	0.009232	0.00841	0.013261	0.007057	0.004757	0.002924	-7870.123
458	0.005191	0.003657	0.006318	0.010922	0.006614	0.01057	0.017267	0.010584	0.01263	0.014056	0.007004	0.003522	0.002141	-7852.169
459	0.004132	0.006145	0.008583	0.005738	0.006083	0.012291	0.005832	0.009119	0.007279	0.016255	0.007849	0.005119	0.005008	-7873.295
460	0.006227	0.006066	0.009036	0.004313	0.003964	0.009186	0.007568	0.007918	0.020773	0.016031	0.008434	0.004054	0.003966	-7862.09
461	0.004764	0.005125	0.006438	0.007733	0.006537	0.005622	0.010156	0.006726	0.010763	0.014841	0.005348	0.003986	0.00151	-7854.264
462	0.004893	0.004723	0.00404	0.004892	0.003589	0.015284	0.006229	0.008401	0.010133	0.013788	0.006991	0.003744	0.003535	-7864.517
463	0.005467	0.006559	0.006826	0.006142	0.004601	0.012863	0.007293	0.013188	0.008051	0.011652	0.007109	0.005122	0.002967	-7877.14
464	0.00422	0.004287	0.00791	0.00263	0.004524	0.01207	0.008046	0.023373	0.005716	0.014705	0.006888	0.002598	0.00216	-7875.746
465	0.005995	0.004736	0.009523	0.00673	0.004828	0.006119	0.005842	0.005499	0.009408	0.016652	0.007599	0.005342	0.003053	-7859.808
466	0.003875	0.004889	0.006818	0.00779	0.005744	0.010991	0.005199	0.008176	0.010283	0.01458	0.009796	0.005545	0.003387	-7866.617
467	0.006087	0.006471	0.008783	0.00557	0.004188	0.019289	0.006431	0.010993	0.016888	0.013505	0.006494	0.004598	0.002393	-7871.815
468	0.003551	0.005352	0.005557	0.003781	0.0064	0.015686	0.008334	0.013585	0.005195	0.013173	0.005667	0.003854	0.002705	-7852.959
469	0.005432	0.006043	0.004757	0.006869	0.007059	0.021836	0.006952	0.012106	0.007435	0.012507	0.00533	0.004192	0.00198	-7879.536
470	0.005396	0.0054	0.005612	0.009615	0.005028	0.010437	0.003438	0.010022	0.009962	0.013682	0.008135	0.004867	0.002278	-7864.639
471	0.006987	0.004616	0.006657	0.02625	0.00578	0.009238	0.007979	0.015796	0.009281	0.014844	0.007279	0.005184	0.00155	-7876.982
472	0.00516	0.006494	0.007366	0.005618	0.007051	0.009493	0.009886	0.00776	0.007164	0.011858	0.006336	0.003495	0.002307	-7857.14
473	0.004617	0.003716	0.004667	0.004858	0.00424	0.007029	0.007392	0.011908	0.010524	0.011861	0.00659	0.004319	0.003079	-7854.129
474	0.003845	0.004448	0.007815	0.003811	0.005694	0.015816	0.005684	0.015361	0.016396	0.013643	0.00627	0.003648	0.002687	-7867.761
475	0.004215	0.00656	0.006958	0.007389	0.00527	0.014199	0.004132	0.013034	0.014231	0.014216	0.008392	0.004304	0.001872	-7860.411
476	0.005745	0.004991	0.006027	0.003668	0.005331	0.011384	0.009856	0.006115	0.008732	0.012388	0.006131	0.004629	0.002272	-7864.945
477	0.003473	0.003667	0.003612	0.011483	0.006172	0.013669	0.007435	0.006943	0.012512	0.009082	0.005454	0.002689	0.001901	-7860.085
478	0.003944	0.003957	0.007062	0.004881	0.005877	0.014458	0.004403	0.006784	0.020383	0.011042	0.006703	0.004	0.003432	-7880.614
479	0.004243	0.005741	0.005561	0.004143	0.005443	0.009642	0.005839	0.030476	0.005967	0.014099	0.005565	0.004113	0.002993	-7872.7
480	0.005924	0.003836	0.012437	0.004922	0.005389	0.008583	0.006417	0.012482	0.008366	0.016644	0.009162	0.004772	0.003702	-7868.798
481	0.003934	0.005217	0.008226	0.007811	0.006103	0.020314	0.008866	0.019147	0.010548	0.015722	0.006198	0.005447	0.003814	-7862.382
482	0.003978	0.004731	0.006058	0.006198	0.004465	0.012797	0.007624	0.007462	0.008515	0.012091	0.007106	0.004157	0.00184	-7867.722
483	0.005869	0.005481	0.004404	0.008813	0.006309	0.010413	0.009237	0.011185	0.019009	0.010607	0.005545	0.00453	0.004088	-7871.91
484	0.005154	0.003582	0.008276	0.004838	0.006285	0.012452	0.010347	0.005988	0.009094	0.012523	0.00618	0.004579	0.003164	-7870.912
485	0.005918	0.004061	0.005456	0.008563	0.004293	0.009035	0.008236	0.016247	0.007606	0.013755	0.006283	0.003757	0.003134	-7873.663
486	0.004513	0.00616	0.00722	0.005452	0.004503	0.026434	0.005614	0.010856	0.014806	0.012284	0.006647	0.004998	0.001719	-7844.802
487	0.007414	0.005689	0.006506	0.003046	0.005834	0.013038	0.005919	0.029543	0.008857	0.016112	0.008999	0.005185	0.003762	-7853.552
488	0.004864	0.005641	0.007407	0.010448	0.005211	0.00915	0.004966	0.012162	0.013344	0.015684	0.005844	0.00449	0.002315	-7854.745
489	0.003818	0.005282	0.008725	0.007099	0.004928	0.008839	0.005632	0.007064	0.011709	0.012221	0.006602	0.004445	0.002965	-7873.16
490	0.005197	0.004233	0.008342	0.010452	0.004721	0.008731	0.008844	0.004719	0.01257	0.011538	0.005821	0.004423	0.003526	-7845.955
491	0.00656	0.006008	0.005776	0.006451	0.005594	0.012232	0.007939	0.019663	0.012623	0.014427	0.007409	0.00425	0.00216	-7877.821
492	0.003804	0.00545	0.007009	0.005034	0.005932	0.011649	0.006401	0.009042	0.040013	0.01416	0.006474	0.004752	0.002098	-7851.799
493	0.003981	0.004683	0.006776	0.006003	0.005432	0.008002	0.007164	0.011291	0.026458	0.013199	0.007093	0.003281	0.002428	-7867.66
494	0.005194	0.003583	0.005566	0.00893	0.004534	0.010486	0.003853	0.011821	0.01276	0.012044	0.006927	0.00362	0.002269	-7847.306
495	0.005119	0.005633	0.009437	0.005059	0.004363	0.009419	0.006754	0.015607	0.01254	0.014187	0.006726	0.004749	0.003846	-7876.593
496	0.004794	0.005123	0.005281	0.006007	0.006799	0.013175	0.008873	0.006331	0.020163	0.013668	0.007931	0.004809	0.001793	-7860.997
497	0.005116	0.005606	0.005061	0.005173	0.006822	0.010596	0.006304	0.014869	0.012253	0.012996	0.007604	0.004503	0.001546	-7864.646
498	0.002992	0.00498	0.006011	0.012688	0.004419	0.00907	0.008693	0.009728	0.006883	0.013367	0.005964	0.00417	0.002417	-7860.844
499	0.005884	0.005673	0.006672	0.004341	0.006782	0.011226	0.006464	0.017458	0.01728	0.014417	0.006589	0.004579	0.003627	-7878.816
500	0.005396	0.003261	0.007322	0.005485	0.004197	0.024284	0.00759	0.015998	0.008874	0.011441	0.006034	0.005065	0.003499	-7872.948
501	0.006107	0.003602	0.007749	0.006416	0.005136	0.009822	0.016109	0.007377	0.010775	0.015958	0.007035	0.004516	0.002738	-7865.87
502	0.004001	0.005672	0.005854	0.003683	0.005271	0.019481	0.00865	0.02479	0.018003	0.015432	0.005615	0.004678	0.002074	-7865.937
503	0.003889	0.003914	0.007327	0.003182	0.005038	0.009299	0.007158	0.015319	0.009263	0.013993	0.008213	0.004206	0.003504	-7858.423
504	0.004796	0.005851	0.005217	0.004738	0.005386	0.009888	0.009575	0.006579	0.011444	0.018447	0.00738	0.005185	0.002599	-7873.139
505	0.004443	0.004072	0.004871	0.004427	0.008732	0.009917	0.00434	0.009042	0.021778	0.01265	0.005667	0.003914	0.001755	-7862.383
506	0.005266	0.004251	0.007025	0.005832	0.005027	0.009061	0.005915	0.013859	0.005825	0.014221	0.005087	0.003034	0.001581	-7880.438
507	0.004869	0.002773	0.007351	0.003261	0.006584	0.009069	0.006224	0.023115	0.011192	0.015035	0.005235	0.00361	0.002298	-7850.838
508	0.005	0.003632	0.005671	0.006038	0.00557	0.027872	0.00317	0.024768	0.008638	0.013509	0.006183	0.003875	0.002346	-7853.405
509	0.004445	0.004247	0.006649	0.008516	0.003827	0.004498	0.007609	0.007636	0.0145	0.016052	0.008014	0.004795	0.002001	-7856.492
510	0.005213	0.006318	0.004768	0.007627	0.006585	0.026255	0.003519	0.012674	0.057476	0.016115	0.007649	0.004445	0.001226	-7851.047
511	0.004486	0.004218	0.005533	0.007742	0.006677	0.010017	0.01235	0.010082	0.010801	0.01821	0.00794	0.006233	0.002747	-7861.704
512	0.005095	0.004385	0.006865	0.003442	0.003632	0.006805	0.008722	0.015878	0.030745	0.018171	0.006438	0.003893	0.003425	-7884.687
513	0.004483	0.004023	0.007148	0.008593	0.003636	0.004397	0.008732	0.005219	0.006443	0.014587	0.006639	0.003645	0.001734	-7862.016
514	0.004157	0.006563	0.006171	0.00739	0.003573	0.006264	0.007001	0.005945	0.008363	0.015458	0.007452	0.00573	0.000988	-7857.988
515	0.004209	0.005956	0.005151	0.003997	0.004324	0.016425	0.006892	0.020717	0.019329	0.014377	0.005821	0.004257	0.000847	-7854.114
516	0.005953	0.005947	0.00773	0.005583	0.006334	0.009047	0.005923	0.013307	0.008225	0.01938	0.008886	0.004825	0.002636	-7873.133
517	0.004987	0.007346	0.006743	0.006456	0.004259	0.009993	0.009028	0.009013	0.044689	0.015581	0.007192	0.003962	0.003277	-7882.408
518	0.00276	0.003356	0.008658	0.015202	0.004762	0.005401	0.005802	0.014841	0.007075	0.01428	0.006458	0.004301	0.002582	-7875.938
519	0.005632	0.005672	0.006455	0.005863	0.004022	0.005247	0.006027	0.015222	0.012691	0.016863	0.007579	0.005048	0.002182	-7860.996
520	0.004059	0.004414	0.007856	0.008757	0.004204	0.011399	0.006532	0.009025	0.019823	0.016521	0.00782	0.004873	0.004523	-7860.909
521	0.004384	0.004171	0.006938	0.005415	0.004293	0.015658	0.004708	0.014752	0.016067	0.013334	0.007019	0.003702	0.002823	-7859.704
522	0.003457	0.004562	0.00495	0.003796	0.004176	0.021171	0.008295	0.034057	0.025693	0.012932	0.005845	0.003989	0.002324	-7851.083
523	0.004126	0.005154	0.006163	0.005253	0.007372	0.01146	0.00528	0.006763	0.009026	0.014598	0.007152	0.005193	0.00318	-7858.285
524	0.003799	0.005643	0.007985	0.006459	0.00628	0.007775	0.006259	0.008894	0.008086	0.014899	0.006817	0.004335	0.002212	-7871.683
525	0.005482	0.005367	0.004905	0.005973	0.003381	0.014696	0.003963	0.007366	0.015338	0.014448	0.006676	0.004448	0.00094	-7858.133
526	0.007445	0.00384	0.006479	0.007826	0.006408	0.00821	0.004596	0.013407	0.009865	0.015933	0.008715	0.005165	0.00166	-7886.848
527	0.004863	0.004047	0.005744	0.00707	0.006692	0.026114	0.005151	0.014532	0.010112	0.012128	0.007166	0.004768	0.003448	-7857.487
528	0.00473	0.003909	0.007544	0.004764	0.005352	0.010581	0.01362	0.011553	0.009474	0.015824	0.006164	0.006001	0.002896	-7860.903
529	0.003253	0.00493	0.004686	0.006251	0.004311	0.006027	0.006905	0.009857	0.024126	0.017074	0.006318	0.003767	0.002826	-7859.758
530	0.007009	0.005804	0.006706	0.005826	0.005929	0.007536	0.010344	0.007115	0.011255	0.020953	0.006951	0.00436	0.001837	-7864.36
531	0.004475	0.005161	0.005455	0.006333	0.004564	0.014356	0.005568	0.009061	0.010838	0.011292	0.00763	0.004423	0.000878	-7854.964
532	0.004827	0.004113	0.00677	0.007902	0.005501	0.010324	0.008029	0.010367	0.010438	0.013249	0.005294	0.004606	0.001801	-7861.602
533	0.005614	0.003041	0.007201	0.009164	0.005001	0.009048	0.004811	0.024594	0.036845	0.014073	0.007653	0.004041	0.00233	-7860.761
534	0.005895	0.005501	0.008119	0.004801	0.004459	0.016586	0.007996	0.007791	0.028245	0.014641	0.008221	0.005636	0.005078	-7872.325
535	0.006192	0.004798	0.009895	0.006568	0.004127	0.012583	0.00448	0.007563	0.015475	0.010279	0.007	0.004258	0.002888	-7875.074
536	0.004584	0.004172	0.006914	0.004915	0.005092	0.016263	0.00567	0.011302	0.008229	0.010553	0.006077	0.003868	0.00321	-7873.678
537	0.006065	0.004154	0.005932	0.009081	0.005217	0.01179	0.007874	0.011287	0.008896	0.010825	0.006	0.004523	0.004273	-7878.985
538	0.005312	0.005953	0.007079	0.008425	0.00524	0.018969	0.007372	0.008282	0.009507	0.016659	0.007268	0.004689	0.002863	-7861.021
539	0.005682	0.005108	0.006913	0.005526	0.003661	0.014684	0.004718	0.027863	0.01937	0.012564	0.008909	0.005865	0.002702	-7861.939
540	0.003449	0.00471	0.006944	0.004788	0.004723	0.012228	0.006857	0.0102	0.012473	0.014667	0.006306	0.003603	0.003332	-7885.378
541	0.004735	0.004343	0.007996	0.006228	0.005842	0.006826	0.004972	0.007866	0.012614	0.017599	0.008341	0.006524	0.003285	-7867.443
542	0.005351	0.005705	0.006531	0.005983	0.005028	0.012603	0.007436	0.008091	0.015793	0.014978	0.006823	0.0039	0.001477	-7863.458
543	0.004129	0.005124	0.004993	0.005734	0.005469	0.009218	0.007098	0.005607	0.023217	0.012751	0.009087	0.005354	0.001467	-7875.701
544	0.005504	0.006467	0.006639	0.007815	0.003844	0.005543	0.005711	0.00813	0.004982	0.017073	0.007124	0.004331	0.002858	-7846.58
545	0.005321	0.005413	0.008453	0.004366	0.004889	0.005265	0.006307	0.024256	0.009111	0.015812	0.006739	0.00476	0.002317	-7876.697
546	0.005184	0.005301	0.007267	0.010246	0.00656	0.014445	0.006259	0.016426	0.039187	0.013039	0.006646	0.0045	0.002948	-7865.503
547	0.007225	0.004249	0.004819	0.004746	0.004568	0.009823	0.008143	0.016829	0.01251	0.016597	0.006716	0.002981	0.002628	-7869.894
548	0.006706	0.004587	0.006444	0.007097	0.004739	0.007151	0.012397	0.013437	0.01395	0.014965	0.007403	0.005413	0.002477	-7857.079
549	0.004936	0.00594	0.004092	0.007389	0.003796	0.009091	0.008298	0.022094	0.011081	0.014005	0.007066	0.002627	0.001755	-7850.337
550	0.005557	0.004513	0.004365	0.004674	0.00482	0.010137	0.005653	0.006681	0.006076	0.01463	0.007065	0.004158	0.001908	-7869.459
551	0.00344	0.004365	0.004454	0.010004	0.007208	0.011781	0.00769	0.009835	0.013123	0.013049	0.006458	0.004007	0.002825	-7865.985
552	0.005237	0.005113	0.006708	0.007956	0.003623	0.014295	0.008105	0.006886	0.011246	0.015565	0.008449	0.004381	0.003576	-7871.08
553	0.00459	0.003442	0.008588	0.005436	0.006056	0.021416	0.006845	0.009412	0.009717	0.01402	0.006316	0.003431	0.003085	-7852.85
554	0.007776	0.00543	0.008383	0.009633	0.005714	0.016474	0.007516	0.009225	0.013414	0.017003	0.00942	0.006933	0.003256	-7868.881
555	0.004171	0.004606	0.006432	0.00385	0.006051	0.012462	0.006823	0.01111	0.026561	0.012627	0.007797	0.004838	0.002325	-7869.099
556	0.005415	0.003335	0.007192	0.009505	0.005835	0.010872	0.014095	0.010377	0.020594	0.011252	0.006274	0.003123	0.002694	-7870.061
557	0.003767	0.005315	0.00605	0.008218	0.007035	0.012976	0.005206	0.016452	0.006091	0.013623	0.00692	0.004091	0.003235	-7893.555
558	0.004046	0.005382	0.005263	0.004365	0.004455	0.014333	0.004961	0.01047	0.008439	0.009913	0.007217	0.004614	0.00298	-7874.184
559	0.003617	0.003983	0.006036	0.008717	0.006199	0.010733	0.005763	0.009098	0.015844	0.010713	0.005321	0.003693	0.003006	-7886.09
560	0.004096	0.004722	0.004818	0.008254	0.0069	0.020837	0.007898	0.008841	0.005431	0.011691	0.005116	0.004474	0.002565	-7877.554
561	0.005252	0.004372	0.008189	0.006408	0.004755	0.013521	0.006613	0.014896	0.010337	0.008622	0.005823	0.004507	0.002973	-7853.579
562	0.006737	0.005703	0.006168	0.005141	0.00713	0.016836	0.008129	0.026335	0.005776	0.009856	0.006772	0.005519	0.00348	-7864.647
563	0.003575	0.004612	0.006183	0.003803	0.005094	0.011271	0.006864	0.00675	0.056158	0.013132	0.006165	0.004245	0.002508	-7847.911
564	0.00407	0.006568	0.012221	0.007318	0.006992	0.028253	0.005909	0.010465	0.019259	0.014698	0.00695	0.004877	0.004361	-7891.694
565	0.004809	0.00585	0.006866	0.015653	0.004353	0.009624	0.005306	0.014784	0.006918	0.01465	0.007639	0.003876	0.003546	-7866.236
566	0.00621	0.004523	0.007679	0.012388	0.006953	0.013632	0.008189	0.007663	0.007403	0.011642	0.006142	0.00359	0.00336	-7877.473
567	0.003868	0.00448	0.0102	0.00691	0.004918	0.011655	0.010439	0.009966	0.016009	0.013374	0.005382	0.004347	0.002169	-7855.751
568	0.005442	0.00432	0.008881	0.005209	0.004119	0.00555	0.009195	0.00706	0.005966	0.014364	0.006818	0.004971	0.002559	-7852.847
