Sample	theta_1A	theta_2B	theta_3C.D	theta_4E	theta_5H	theta_6AEC.DBH	theta_7AEC.DB	theta_8EC.DB	theta_9EC.D	tau_6AEC.DBH	tau_7AEC.DB	tau_8EC.DB	tau_9EC.D	lnL
42	0.005182	0.004103	0.005791	0.003972	0.007271	0.015265	0.009481	0.011342	0.034327	0.01431	0.007503	0.003753	0.003741	-7865.605
43	0.006767	0.004031	0.008692	0.003664	0.004819	0.013619	0.003517	0.008439	0.011511	0.01362	0.008256	0.004748	0.003124	-7875.292
44	0.005149	0.005711	0.007197	0.00584	0.005142	0.0176	0.009553	0.014852	0.017458	0.01362	0.006368	0.003968	0.002218	-7867.035
45	0.00316	0.005415	0.006537	0.013766	0.004657	0.014608	0.007018	0.014179	0.016517	0.010964	0.006189	0.003879	0.002327	-7864.317
46	0.00486	0.004814	0.006157	0.004005	0.00514	0.011112	0.010152	0.026358	0.007062	0.01118	0.005347	0.003814	0.002861	-7854.205
47	0.006438	0.004721	0.006768	0.006876	0.004551	0.012446	0.008134	0.012104	0.010596	0.011202	0.007046	0.004438	0.002811	-7861.179
48	0.006046	0.00758	0.008413	0.005767	0.004718	0.018428	0.021723	0.035881	0.007958	0.011918	0.007128	0.005207	0.002603	-7863.801
49	0.004551	0.002864	0.004719	0.006358	0.005916	0.013456	0.006075	0.011906	0.016778	0.012666	0.006404	0.004101	0.002676	-7874.125
50	0.005054	0.006821	0.008015	0.006269	0.004676	0.02994	0.00679	0.006854	0.023374	0.010517	0.006388	0.004078	0.003291	-7869.787
51	0.00489	0.005456	0.007565	0.005795	0.00468	0.022547	0.006478	0.008156	0.013981	0.009363	0.0068	0.004265	0.003877	-7874.178
52	0.00403	0.004918	0.007249	0.007995	0.005504	0.012577	0.011409	0.010207	0.014318	0.009476	0.005183	0.004652	0.002076	-7862.615
53	0.005927	0.005423	0.007716	0.005309	0.004461	0.020768	0.006985	0.007841	0.018001	0.011815	0.006917	0.003797	0.00325	-7879.489
54	0.006088	0.005527	0.006241	0.005964	0.004947	0.012555	0.006286	0.009091	0.012809	0.010688	0.006277	0.004451	0.002697	-7878.172
55	0.005427	0.00477	0.005916	0.004388	0.006094	0.011628	0.008465	0.018134	0.012251	0.009706	0.007341	0.003009	0.002838	-7858.252
56	0.00459	0.004364	0.007459	0.012299	0.003966	0.010837	0.009775	0.009559	0.010671	0.012107	0.006855	0.004691	0.003239	-7852.681
57	0.004189	0.004857	0.006458	0.0064	0.00661	0.017569	0.008556	0.011533	0.015424	0.013599	0.007217	0.005129	0.003007	-7856.543
58	0.005081	0.006343	0.01124	0.00784	0.00488	0.017525	0.015354	0.008562	0.011297	0.014771	0.008359	0.006195	0.003606	-7873.396
59	0.004428	0.00632	0.007136	0.006524	0.005254	0.008163	0.005836	0.009127	0.00746	0.013179	0.007555	0.005655	0.004557	-7867.471
60	0.006117	0.006011	0.006137	0.003375	0.006489	0.010372	0.012712	0.017865	0.008577	0.012891	0.005253	0.005179	0.002152	-7869.961
61	0.005792	0.005423	0.004777	0.003037	0.006515	0.011692	0.007155	0.012442	0.017353	0.011304	0.007114	0.003506	0.002351	-7881.325
62	0.007031	0.00434	0.007328	0.01253	0.004979	0.00999	0.006802	0.010504	0.004319	0.014707	0.006908	0.003552	0.003029	-7881.34
63	0.00442	0.003164	0.006236	0.006129	0.00499	0.018296	0.011444	0.0074	0.008952	0.014812	0.007648	0.005072	0.002274	-7844.618
64	0.007576	0.005899	0.006686	0.005754	0.005422	0.011373	0.007578	0.009262	0.013232	0.015485	0.006866	0.004147	0.002624	-7866.77
65	0.00478	0.003901	0.004995	0.004347	0.005257	0.006522	0.005472	0.01055	0.017429	0.01564	0.008214	0.004376	0.003982	-7870.34
66	0.004775	0.003606	0.007783	0.003026	0.006067	0.00685	0.005401	0.009425	0.018641	0.015582	0.008397	0.00474	0.003484	-7869.258
67	0.004727	0.003404	0.005292	0.007257	0.0057	0.012296	0.007944	0.028578	0.006174	0.015213	0.006506	0.003675	0.002622	-7863.592
68	0.004055	0.005276	0.007146	0.008375	0.004032	0.017087	0.005048	0.015881	0.007247	0.012263	0.008862	0.005817	0.003816	-7879.266
69	0.004228	0.003786	0.007038	0.008396	0.004361	0.01086	0.011003	0.012364	0.008766	0.013111	0.007582	0.004379	0.003259	-7884.888
70	0.00514	0.004507	0.009338	0.005544	0.007302	0.009498	0.0106	0.011731	0.013553	0.014197	0.007739	0.005308	0.003016	-7867.683
71	0.004058	0.003886	0.006408	0.010034	0.005402	0.010231	0.013091	0.00756	0.007052	0.012308	0.007118	0.006183	0.004156	-7858.002
72	0.005848	0.005982	0.005913	0.006026	0.007758	0.013132	0.00941	0.009499	0.010551	0.012444	0.005679	0.005145	0.001749	-7871.611
73	0.003732	0.005121	0.006624	0.007154	0.006129	0.009731	0.006388	0.011632	0.00664	0.011507	0.006104	0.006081	0.002648	-7873.054
74	0.005252	0.004955	0.008462	0.005057	0.008356	0.025222	0.009319	0.007549	0.006743	0.012597	0.005589	0.00529	0.002102	-7858.962
75	0.007498	0.004651	0.005835	0.008456	0.004392	0.007072	0.01037	0.00669	0.010413	0.013373	0.005958	0.004366	0.002003	-7847.147
76	0.006092	0.004799	0.005908	0.007173	0.010805	0.007534	0.006477	0.01265	0.022327	0.018168	0.008242	0.004527	0.00346	-7863.135
77	0.004709	0.007268	0.008368	0.00646	0.006258	0.005431	0.009694	0.017863	0.006466	0.016011	0.007836	0.003935	0.00254	-7860.328
78	0.005157	0.003893	0.003575	0.005033	0.008458	0.019423	0.007764	0.014036	0.007885	0.0132	0.005455	0.003355	0.002359	-7863.431
79	0.004876	0.005041	0.006207	0.005678	0.004974	0.009158	0.006266	0.005824	0.015132	0.012624	0.00702	0.004955	0.003546	-7875.582
80	0.005832	0.005052	0.006737	0.011449	0.005503	0.019429	0.003965	0.020774	0.015901	0.012928	0.00874	0.004224	0.002657	-7881.352
81	0.004617	0.005703	0.005595	0.013707	0.005289	0.008266	0.009988	0.035226	0.012933	0.011911	0.005808	0.002876	0.001798	-7854.664
82	0.004795	0.005553	0.007052	0.004579	0.005493	0.014769	0.007059	0.009972	0.014479	0.01127	0.007162	0.005131	0.003122	-7878.303
83	0.005838	0.004076	0.007924	0.008521	0.004416	0.01554	0.005709	0.012429	0.024002	0.01291	0.006527	0.003129	0.003105	-7872.183
84	0.005832	0.005781	0.007002	0.004518	0.00567	0.009941	0.005142	0.012952	0.033454	0.014492	0.007996	0.005076	0.00256	-7849.382
85	0.004174	0.004692	0.006736	0.002699	0.00514	0.014503	0.004496	0.007832	0.007535	0.013972	0.00715	0.004267	0.003112	-7879.62
86	0.003941	0.004082	0.007386	0.004659	0.004912	0.006801	0.005798	0.014252	0.012382	0.013805	0.007736	0.004398	0.002845	-7864.571
87	0.004713	0.006138	0.005306	0.005809	0.004583	0.005284	0.006086	0.023138	0.018684	0.014603	0.007019	0.004148	0.003345	-7848.616
88	0.005111	0.004381	0.005467	0.006343	0.004868	0.01267	0.00497	0.009347	0.025462	0.01467	0.008212	0.005232	0.002012	-7868.374
89	0.004779	0.003841	0.005192	0.009805	0.006313	0.024434	0.007245	0.008715	0.008219	0.014417	0.005713	0.00313	0.002428	-7863.464
90	0.004101	0.003781	0.006644	0.005359	0.005599	0.006187	0.004832	0.011797	0.008253	0.014957	0.007258	0.004695	0.002809	-7882.919
91	0.004065	0.005271	0.008073	0.011705	0.004862	0.007751	0.0069	0.012394	0.008419	0.014886	0.007155	0.003939	0.002493	-7858.965
92	0.004743	0.005548	0.0074	0.003909	0.005816	0.008196	0.005098	0.006261	0.011733	0.016083	0.005964	0.003029	0.002073	-7876.74
93	0.004403	0.004074	0.007285	0.00593	0.006806	0.010388	0.006269	0.008245	0.009287	0.015393	0.006506	0.003872	0.001843	-7873.85
94	0.007607	0.00482	0.004848	0.005122	0.007427	0.009744	0.007151	0.007413	0.012835	0.015976	0.006839	0.003618	0.002561	-7872.553
95	0.006131	0.008051	0.006463	0.012569	0.006557	0.006328	0.007843	0.022913	0.011212	0.015801	0.006793	0.002961	0.001854	-7876.658
96	0.004737	0.00529	0.005875	0.014023	0.004296	0.019083	0.004909	0.004818	0.010344	0.012435	0.007221	0.004409	0.003391	-7883.431
97	0.004943	0.004984	0.006342	0.004981	0.008392	0.010469	0.007775	0.005318	0.008608	0.016309	0.008456	0.005338	0.002338	-7879.604
98	0.005216	0.005187	0.005154	0.009228	0.004852	0.01109	0.007583	0.02168	0.010602	0.012939	0.00722	0.005002	0.001629	-7871.014
99	0.00445	0.003304	0.005024	0.00752	0.005133	0.02228	0.00666	0.014112	0.013404	0.012724	0.006646	0.00388	0.002706	-7856.869
100	0.004051	0.005214	0.011002	0.00367	0.005944	0.00557	0.004879	0.012726	0.023038	0.014413	0.007621	0.00393	0.002179	-7863.894
101	0.004725	0.006242	0.004413	0.014061	0.005068	0.006791	0.004854	0.011685	0.010961	0.017968	0.008197	0.004742	0.003008	-7869.625
102	0.003701	0.004819	0.005662	0.002601	0.005192	0.011751	0.005322	0.007404	0.009304	0.016353	0.008056	0.005132	0.003327	-7862.555
103	0.004785	0.005424	0.006277	0.006415	0.005191	0.013587	0.007597	0.007597	0.019507	0.014548	0.007386	0.003962	0.001966	-7851.984
104	0.004553	0.005812	0.005753	0.00711	0.005645	0.009716	0.009132	0.009908	0.018	0.010893	0.007673	0.004081	0.002163	-7864.55
105	0.00511	0.0043	0.008223	0.006949	0.004246	0.017419	0.007832	0.009156	0.011359	0.016367	0.006854	0.004592	0.003627	-7860.105
106	0.004594	0.004181	0.009268	0.005147	0.00486	0.005005	0.008211	0.00796	0.008578	0.016644	0.007037	0.004498	0.002836	-7853.676
107	0.004846	0.006261	0.005468	0.004069	0.003952	0.01223	0.004529	0.013541	0.010555	0.014968	0.007278	0.004259	0.002648	-7873.935
108	0.005907	0.003824	0.004273	0.006259	0.005328	0.00577	0.008032	0.006751	0.016177	0.017148	0.007322	0.004584	0.001775	-7868.781
109	0.003657	0.004255	0.008167	0.007939	0.004499	0.006406	0.007196	0.015162	0.006096	0.012981	0.006089	0.005364	0.003314	-7861.368
110	0.004551	0.004742	0.007219	0.008938	0.004072	0.01257	0.007142	0.020884	0.028099	0.012392	0.005695	0.004053	0.002625	-7860.071
111	0.003228	0.004629	0.006456	0.009795	0.004154	0.01015	0.012547	0.014566	0.010592	0.012139	0.006561	0.004524	0.002321	-7865.16
112	0.007023	0.004471	0.00762	0.010394	0.005645	0.007459	0.012354	0.016114	0.066647	0.016755	0.00633	0.004548	0.002431	-7874
113	0.006202	0.003807	0.006652	0.00705	0.004884	0.007095	0.006061	0.008538	0.015762	0.016793	0.008941	0.006399	0.003263	-7869.623
114	0.005966	0.005739	0.006163	0.005317	0.00687	0.021368	0.003943	0.010453	0.015942	0.017146	0.008172	0.005104	0.000671	-7864.909
115	0.00411	0.00506	0.008138	0.005347	0.005347	0.012497	0.008259	0.005762	0.01084	0.016018	0.006971	0.005234	0.001537	-7860.148
116	0.004157	0.005995	0.007912	0.004598	0.004608	0.009146	0.010187	0.006456	0.024719	0.01275	0.006648	0.004102	0.003015	-7863.852
117	0.004986	0.003585	0.008638	0.017856	0.004233	0.011329	0.006682	0.008151	0.011998	0.011585	0.007692	0.005185	0.004193	-7868.526
118	0.00564	0.006278	0.006379	0.005916	0.006137	0.01092	0.005835	0.012528	0.017764	0.010698	0.007698	0.005704	0.004942	-7876.831
119	0.005465	0.00406	0.009802	0.00445	0.005146	0.018461	0.019375	0.007738	0.01554	0.008343	0.005627	0.004579	0.003472	-7868.675
120	0.003557	0.005666	0.007573	0.004103	0.004642	0.022627	0.004619	0.017037	0.006547	0.008885	0.007201	0.005499	0.003346	-7857.06
121	0.004165	0.005007	0.006067	0.006802	0.004586	0.032058	0.012922	0.006275	0.008796	0.011273	0.007104	0.004375	0.002207	-7859.567
122	0.004452	0.006628	0.005242	0.005806	0.004173	0.014599	0.005361	0.014424	0.015684	0.008019	0.005757	0.004233	0.002533	-7853.269
123	0.00405	0.005402	0.005427	0.007329	0.005438	0.017069	0.007184	0.046948	0.011882	0.008309	0.006784	0.004995	0.003238	-7853.144
124	0.005309	0.003747	0.006209	0.012986	0.003738	0.012062	0.013391	0.032137	0.010267	0.010281	0.005334	0.004522	0.002158	-7859.225
125	0.006624	0.004577	0.006342	0.011965	0.004269	0.014666	0.005156	0.011254	0.008588	0.012939	0.007216	0.004495	0.002949	-7847.495
126	0.005188	0.004987	0.004927	0.008252	0.005205	0.006671	0.005377	0.015238	0.010633	0.014636	0.007708	0.004216	0.003038	-7851.435
127	0.00484	0.005841	0.005972	0.005822	0.007764	0.020003	0.00416	0.007724	0.022836	0.015534	0.008008	0.004557	0.004286	-7880.024
128	0.00727	0.005146	0.006877	0.009541	0.005467	0.010585	0.005011	0.013225	0.016194	0.013408	0.006421	0.004151	0.003432	-7870.074
129	0.007901	0.004683	0.005666	0.005786	0.008342	0.012207	0.005053	0.012512	0.01616	0.015417	0.007587	0.003823	0.002474	-7868.926
130	0.00598	0.004131	0.007225	0.004832	0.006158	0.008428	0.007353	0.011568	0.012228	0.013522	0.007632	0.004642	0.002621	-7861.425
131	0.005193	0.006979	0.007743	0.006512	0.004904	0.013095	0.005435	0.011628	0.025748	0.013618	0.006822	0.003364	0.002495	-7865.955
132	0.006142	0.005177	0.005365	0.006995	0.005154	0.006246	0.007566	0.039405	0.012484	0.017178	0.007008	0.005443	0.003285	-7860.429
133	0.005287	0.005036	0.006422	0.005936	0.006473	0.014811	0.010607	0.013426	0.016494	0.012843	0.006508	0.004059	0.002577	-7862.357
134	0.005547	0.005096	0.005353	0.011078	0.004362	0.008971	0.006648	0.008978	0.013	0.014961	0.008149	0.00532	0.003033	-7859.344
135	0.008123	0.008214	0.004743	0.007946	0.00409	0.008798	0.004987	0.011816	0.015837	0.013541	0.006586	0.003756	0.00242	-7869.821
136	0.005389	0.006195	0.006016	0.005337	0.005149	0.009162	0.005701	0.007258	0.004641	0.015199	0.007957	0.005607	0.003921	-7872.91
137	0.005402	0.004215	0.006492	0.006864	0.004519	0.015916	0.010559	0.00527	0.014204	0.012194	0.006683	0.0047	0.002905	-7838.742
138	0.003411	0.003482	0.00688	0.004888	0.003811	0.014008	0.00537	0.006179	0.027576	0.009578	0.006404	0.004166	0.002653	-7866.583
